ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
27,0.0,V2,V4,10.0,4,40,V8,V2,V5,yes,893,893,,1,V2,V2,3736,V4,0.0,V4,3,T,F,V3,,1.0,V3,10,31226,V1,1.0,V2,V2
28,0.0,V4,V5,12.0,2,36,V3,V2,V5,yes,3398,3398,,1,V2,V3,3361,V3,0.0,V3,3,T,F,V3,,1.0,V4,12,10319,V1,1.0,V2,V1
29,0.0,V4,V5,35.0,4,38,V1,V4,V4,yes,5710,5710,,2,V4,V3,4064,V4,0.0,V4,2,T,F,V3,,1.0,V4,35,10756,V1,1.0,V2,V2
30,0.0,V1,V5,8.0,2,36,V3,V4,V1,yes,1153,1153,,3,V4,V3,4631,V2,0.0,V2,4,T,F,V3,,1.0,V2,8,100495,V1,1.0,V2,V1
31,1.0,V4,V3,9.0,1,28,V2,V2,V1,no,959,959,,1,V2,V2,4608,V2,0.0,V2,2,T,F,V3,,1.0,V3,9,24000,V1,1.0,V2,V1
32,0.0,V2,V4,11.0,4,26,V4,V4,V1,yes,1424,1424,,1,V4,V3,4925,V2,0.0,V2,3,T,F,V3,,1.0,V3,11,22676,V1,1.0,V2,V1
33,1.0,V2,V3,35.0,2,26,V1,V2,V1,yes,8228,8228,,1,V2,V3,5809,V1,0.0,V1,2,T,F,V3,,1.0,V3,35,23632,V1,2.0,V2,V1
34,0.0,V3,V2,23.0,2,24,V6,V4,V1,yes,5742,5742,,2,V4,V2,4713,V2,0.0,V2,4,T,F,V3,,1.0,V3,23,41498,V1,1.0,V3,V2
35,0.0,V4,V2,24.0,1,33,V3,V3,V1,yes,6403,6403,,1,V3,V3,3846,V2,0.0,V2,2,T,F,V3,,1.0,V3,24,19372,V1,1.0,V2,V1
36,0.0,V1,V4,5.0,1,74,V9,V2,V1,yes,3448,3448,,1,V2,V3,4452,V4,0.0,V4,4,T,F,V3,,1.0,V2,5,29004,V1,1.0,V2,V1
37,0.0,V4,V5,23.0,4,19,V3,V2,V1,yes,1966,1966,,1,V2,V2,3741,V2,0.0,V2,4,T,F,V3,,1.0,V3,23,20210,V1,1.0,V2,V2
38,0.0,V2,V3,11.0,4,30,V7,V4,V1,yes,2120,2120,,2,V4,V3,4821,V1,0.0,V1,2,T,F,V3,,1.0,V3,11,18929,V1,1.0,V2,V1
39,0.0,V1,V3,18.0,3,43,V2,V2,V1,yes,2515,2515,,1,V2,V3,5697,V4,0.0,V4,4,T,F,V3,,1.0,V3,18,20987,V1,1.0,V2,V2
40,1.0,V4,V5,24.0,4,60,V7,V4,V1,yes,1199,1199,,2,V4,V3,4633,V1,0.0,V1,4,T,F,V3,,1.0,V2,24,19233,V1,1.0,V2,V1
41,0.0,V1,V3,8.0,4,21,V7,V2,V1,yes,275,275,,1,V2,V4,6367,V2,0.0,V2,4,T,F,V3,,1.0,V2,8,49652,V1,1.0,V1,V1
42,0.0,V4,V3,23.0,4,41,V7,V3,V5,yes,1965,1965,,2,V3,V2,4377,V2,0.0,V2,4,T,F,V3,,1.0,V3,23,40337,V1,1.0,V1,V2
43,0.0,V3,V3,47.0,1,30,V6,V4,V1,yes,6109,6109,,1,V4,V3,4137,V4,0.0,V4,3,T,F,V1,,1.0,V3,47,24585,V1,1.0,V3,V2
44,0.0,V1,V3,48.0,1,27,V9,V1,V1,yes,3608,3608,,1,V1,V2,5949,V4,0.0,V4,1,T,F,V2,,1.0,V3,48,14956,V1,1.0,V2,V1
45,0.0,V2,V3,23.0,2,45,V1,V4,V5,yes,6841,6841,,2,V4,V3,4424,V4,0.0,V4,4,T,F,V3,,1.0,V4,23,38029,V1,2.0,V2,V2
46,1.0,V4,V3,18.0,2,68,V7,V2,V5,yes,6761,6761,,2,V2,V3,3905,V4,0.0,V4,4,T,F,V3,,1.0,V3,18,101121,V1,1.0,V1,V1
47,0.0,V4,V3,14.0,3,29,V1,V2,V1,yes,4656,4656,,1,V2,V3,4626,V4,0.0,V4,2,T,F,V3,,1.0,V3,14,17948,V1,1.0,V2,V2
48,1.0,V1,V2,24.0,4,23,V7,V2,V1,yes,1245,1245,,1,V2,V3,5370,V2,0.0,V2,2,T,F,V2,,1.0,V2,24,8119,V1,1.0,V2,V1
49,0.0,V4,V3,9.0,2,63,V7,V2,V1,yes,1363,1363,,1,V2,V2,5075,V4,0.0,V4,4,T,F,V3,,1.0,V3,9,143078,V1,1.0,V2,V2
50,0.0,V1,V5,17.0,4,32,V3,V2,V1,yes,1301,1301,,1,V2,V4,4830,V2,0.0,V2,2,T,F,V3,,1.0,V2,17,24475,V3,1.0,V2,V1
51,1.0,V2,V4,35.0,4,29,V2,V2,V1,yes,5179,5179,,1,V2,V3,4366,V1,0.0,V1,2,T,F,V3,,1.0,V3,35,29313,V1,1.0,V2,V1
52,1.0,V3,V5,59.0,3,63,V9,V3,V1,yes,6836,6836,,2,V3,V3,4318,V1,0.0,V1,4,T,F,V3,,1.0,V3,59,10539,V1,1.0,V2,V2
53,0.0,V2,V3,12.0,4,23,V6,V2,V5,yes,1200,1200,,1,V2,V2,5153,V1,0.0,V1,4,T,F,V1,,1.0,V3,12,31952,V1,1.0,V1,V2
54,0.0,V3,V2,5.0,1,55,V6,V2,V1,yes,1537,1537,,1,V2,V2,5587,V4,0.0,V4,2,T,F,V3,,1.0,V3,5,105091,V1,1.0,V2,V1
55,0.0,V2,V4,10.0,4,27,V3,V4,V5,yes,1346,1346,,2,V4,V3,4814,V3,0.0,V3,2,T,F,V3,,1.0,V3,10,22235,V1,1.0,V2,V2
56,0.0,V2,V3,12.0,4,21,V2,V2,V1,yes,1288,1288,,1,V2,V3,4757,V1,0.0,V1,1,T,F,V3,,1.0,V2,12,114602,V3,1.0,V2,V1
57,0.0,V1,V3,24.0,2,30,V7,V2,V1,yes,1392,1392,,1,V2,V3,3585,V4,0.0,V4,2,T,F,V3,,1.0,V3,24,95134,V3,1.0,V2,V2
58,0.0,V4,V5,39.0,4,44,V1,V2,V2,yes,8588,8588,,1,V2,V3,3145,V4,0.0,V4,2,T,F,V3,,1.0,V4,39,23943,V1,1.0,V2,V2
59,0.0,V2,V5,24.0,4,53,V3,V4,V5,yes,2423,2423,,2,V4,V3,6730,V4,0.0,V4,4,T,F,V3,,1.0,V3,24,36240,V1,1.0,V2,V1
60,0.0,V4,V5,9.0,3,35,V3,V2,V2,yes,2752,2752,,1,V2,V3,4609,V4,0.0,V4,4,T,F,V3,,1.0,V3,9,6553,V2,1.0,V2,V2
61,1.0,V4,V3,11.0,2,20,V2,V2,V1,yes,1281,1281,,1,V2,V2,4791,V1,0.0,V1,4,T,F,V3,,1.0,V3,11,366,V1,1.0,V1,V1
62,0.0,V4,V3,11.0,3,23,V3,V2,V1,yes,3016,3016,,1,V2,V4,3795,V3,0.0,V3,1,T,F,V3,,1.0,V3,11,50881,V1,1.0,V2,V1
63,0.0,V4,V1,17.0,3,39,V9,V4,V1,yes,3589,3589,,3,V4,V4,5386,V2,0.0,V2,3,T,F,V3,,1.0,V1,17,47264,V1,2.0,V2,V2
64,0.0,V4,V5,24.0,4,41,V1,V4,V1,yes,3867,3867,,2,V4,V2,5189,V4,0.0,V4,2,T,F,V3,,1.0,V4,24,34887,V1,1.0,V1,V2
65,0.0,V4,V4,35.0,4,36,V7,V4,V1,yes,3535,3535,,2,V4,V3,3814,V4,0.0,V4,4,T,F,V3,,1.0,V3,35,3399,V1,1.0,V2,V2
66,0.0,V4,V3,18.0,4,28,V2,V2,V4,yes,2659,2659,,1,V2,V3,4299,V1,0.0,V1,2,T,F,V3,,1.0,V3,18,12644,V1,1.0,V2,V1
67,0.0,V1,V2,3.0,1,29,V7,V2,V5,no,1493,1493,,1,V2,V3,4680,V3,0.0,V3,2,T,F,V3,,1.0,V2,3,50564,V1,2.0,V2,V1
68,1.0,V1,V1,17.0,3,21,V3,V2,V1,yes,433,433,,1,V2,V2,7209,V4,0.0,V4,4,T,F,V3,,1.0,V3,17,9935,V2,1.0,V1,V1
69,0.0,V4,V5,24.0,4,24,V3,V2,V5,yes,998,998,,2,V2,V3,5491,V4,0.0,V4,2,T,F,V3,,1.0,V3,24,8519,V1,1.0,V2,V1
70,0.0,V1,V5,24.0,4,58,V10,V2,V1,yes,1754,1754,,1,V2,V2,6147,V1,0.0,V1,4,T,F,V3,,1.0,V2,24,15510,V3,1.0,V2,V2
71,0.0,V4,V3,12.0,2,43,V3,V2,V1,yes,1880,1880,,1,V2,V2,4518,V3,0.0,V3,2,T,F,V3,,1.0,V2,12,84260,V1,1.0,V1,V2
72,0.0,V1,V3,8.0,2,35,V7,V4,V1,yes,2799,2799,,2,V4,V3,7314,V1,0.0,V1,2,T,F,V3,,1.0,V3,8,69066,V1,2.0,V1,V1
73,1.0,V4,V1,17.0,4,32,V2,V2,V1,yes,1131,1131,,1,V2,V2,5567,V1,0.0,V1,2,T,F,V3,,1.0,V3,17,22989,V1,1.0,V2,V1
74,0.0,V2,V5,14.0,4,63,V2,V4,V5,yes,1519,1519,,1,V4,V3,3969,V4,0.0,V4,4,T,F,V3,,1.0,V3,14,111246,V1,1.0,V2,V1
75,1.0,V2,V2,5.0,4,23,V6,V2,V1,yes,447,447,,1,V2,V2,7825,V1,0.0,V1,4,T,F,V3,,1.0,V3,5,26243,V1,1.0,V2,V1
76,1.0,V1,V3,36.0,2,29,V9,V3,V1,yes,4455,4455,,2,V3,V1,3183,V2,0.0,V2,2,T,F,V2,,1.0,V4,36,4430,V1,1.0,V2,V2
77,0.0,V4,V5,6.0,4,52,V3,V4,V3,yes,337,337,,2,V4,V3,4523,V1,0.0,V1,4,T,F,V3,,1.0,V3,6,7474,V1,1.0,V2,V1
78,0.0,V3,V4,47.0,4,49,V6,V2,V1,yes,7476,7476,,1,V2,V3,6275,V1,0.0,V1,1,T,F,V3,,1.0,V4,47,71768,V1,1.0,V3,V2
79,0.0,V2,V3,30.0,4,39,V1,V2,V1,yes,3857,3857,,1,V2,V1,4750,V1,0.0,V1,4,T,F,V3,,1.0,V4,30,67637,V1,1.0,V2,V2
80,1.0,V1,V4,30.0,4,23,V2,V2,V1,yes,2405,2405,,1,V2,V2,6138,V1,0.0,V1,4,T,F,V3,,1.0,V3,30,53446,V1,1.0,V1,V1
81,1.0,V1,V2,18.0,2,31,V2,V4,V1,yes,1927,1927,,2,V4,V3,5499,V2,0.0,V2,2,T,F,V3,,1.0,V2,18,6931,V1,1.0,V2,V1
82,0.0,V3,V5,24.0,3,51,V2,V2,V1,yes,2891,2891,,1,V2,V1,5799,V3,0.0,V3,4,T,F,V3,,1.0,V3,24,17530,V1,1.0,V3,V1
83,1.0,V2,V5,18.0,1,51,V1,V2,V5,yes,7510,7510,,1,V2,V3,5206,V1,0.0,V1,4,T,F,V3,,1.0,V3,18,41525,V1,2.0,V3,V2
84,0.0,V4,V5,36.0,4,30,V3,V2,V1,yes,4473,4473,,1,V2,V3,4516,V3,0.0,V3,2,T,F,V3,,1.0,V3,36,30402,V1,1.0,V2,V1
85,0.0,V3,V5,60.0,2,63,V7,V4,V5,yes,13755,13755,,1,V4,V3,5394,V4,0.0,V4,4,T,F,V1,,1.0,V4,60,2208,V1,1.0,V3,V2
86,1.0,V3,V3,35.0,4,36,V6,V2,V1,yes,1818,1818,,1,V2,V3,4003,V4,0.0,V4,4,T,F,V2,,1.0,V3,35,22908,V1,1.0,V3,V2
87,1.0,V3,V5,18.0,2,38,V7,V1,V1,yes,6458,6458,,2,V1,V3,4340,V4,0.0,V4,4,T,F,V1,,1.0,V4,18,43492,V1,2.0,V2,V2
88,0.0,V1,V5,12.0,4,51,V3,V4,V1,yes,717,717,,3,V4,V3,5879,V4,0.0,V4,4,T,F,V3,,1.0,V3,12,61237,V1,1.0,V2,V1
89,0.0,V1,V2,9.0,1,23,V2,V4,V1,yes,2146,2146,,2,V4,V2,5345,V4,0.0,V4,3,T,F,V3,,1.0,V3,9,29718,V1,1.0,V1,V1
90,0.0,V3,V5,23.0,4,62,V7,V2,V1,yes,3757,3757,,1,V2,V2,5031,V4,0.0,V4,4,T,F,V3,,1.0,V3,23,19235,V2,1.0,V3,V2
91,0.0,V1,V5,14.0,4,49,V3,V4,V5,yes,1537,1537,,2,V4,V3,3769,V2,0.0,V2,4,T,F,V3,,1.0,V3,14,27849,V3,1.0,V2,V2
92,0.0,V4,V4,11.0,3,35,V7,V4,V3,yes,2366,2366,,1,V4,V1,2503,V2,0.0,V2,3,T,F,V3,,1.0,V4,11,39128,V1,1.0,V2,V2
93,1.0,V4,V2,47.0,1,26,V2,V2,V1,yes,9959,9959,,1,V2,V2,3668,V2,0.0,V2,2,T,F,V3,,1.0,V3,47,51368,V1,1.0,V2,V2
94,0.0,V1,V3,23.0,4,50,V2,V4,V4,yes,3776,3776,,1,V4,V3,5725,V4,0.0,V4,4,T,F,V3,,1.0,V3,23,41960,V1,1.0,V2,V2
95,0.0,V2,V3,5.0,2,50,V6,V4,V1,yes,1046,1046,,1,V4,V2,4385,V3,0.0,V3,4,T,F,V3,,1.0,V2,5,43444,V1,1.0,V2,V1
96,0.0,V3,V2,23.0,4,29,V1,V2,V1,yes,2679,2679,,1,V2,V2,8270,V4,0.0,V4,1,T,F,V3,,1.0,V4,23,29730,V1,1.0,V2,V2
97,0.0,V4,V5,18.0,3,32,V3,V4,V1,yes,6069,6069,,2,V4,V3,4370,V4,0.0,V4,4,T,F,V3,,1.0,V3,18,17645,V1,1.0,V2,V2
98,1.0,V2,V3,21.0,4,40,V7,V1,V5,yes,1647,1647,,2,V1,V3,5072,V1,0.0,V1,2,T,F,V3,,1.0,V2,21,23650,V1,2.0,V2,V1
99,0.0,V3,V3,47.0,4,37,V9,V3,V5,yes,6680,6680,,1,V3,V3,5974,V2,0.0,V2,4,T,F,V3,,1.0,V3,47,71365,V1,2.0,V3,V2
100,1.0,V3,V5,21.0,4,29,V7,V4,V5,yes,12680,12680,,1,V4,V3,5155,V4,0.0,V4,4,T,F,V3,,1.0,V4,21,5964,V1,1.0,V3,V2
101,0.0,V4,V5,11.0,4,49,V7,V2,V5,yes,2389,2389,,1,V2,V3,5191,V4,0.0,V4,3,T,F,V3,,1.0,V3,11,96661,V1,1.0,V2,V2
102,1.0,V3,V4,59.0,4,27,V7,V2,V1,yes,14027,14027,,1,V2,V3,5992,V2,0.0,V2,2,T,F,V3,,1.0,V4,59,20791,V1,1.0,V2,V2
103,0.0,V1,V3,12.0,2,26,V9,V2,V1,no,1076,1076,,1,V2,V4,4081,V4,0.0,V4,2,T,F,V3,,1.0,V3,12,25995,V1,1.0,V2,V2
104,0.0,V1,V4,11.0,2,46,V7,V4,V1,yes,957,957,,2,V4,V3,6683,V2,0.0,V2,3,T,F,V3,,1.0,V2,11,13376,V1,2.0,V2,V1
105,0.0,V1,V3,9.0,1,25,V7,V2,V2,no,3576,3576,,1,V2,V3,7365,V4,0.0,V4,2,T,F,V3,,1.0,V3,9,6418,V3,2.0,V1,V1
106,0.0,V2,V1,35.0,4,29,V2,V2,V1,yes,3958,3958,,1,V2,V3,5825,V1,0.0,V1,3,T,F,V3,,1.0,V4,35,52476,V1,1.0,V2,V2
107,0.0,V3,V5,23.0,4,19,V2,V4,V5,yes,3616,3616,,2,V4,V3,4512,V3,0.0,V3,4,T,F,V3,,1.0,V3,23,28250,V2,1.0,V1,V1
108,1.0,V3,V3,36.0,1,46,V6,V2,V2,yes,12612,12612,,1,V2,V3,4240,V2,0.0,V2,4,T,F,V3,,1.0,V3,36,40266,V1,2.0,V3,V2
109,0.0,V2,V4,23.0,4,27,V7,V4,V2,yes,2462,2462,,2,V4,V4,6433,V4,0.0,V4,3,T,F,V3,,1.0,V3,23,43170,V1,1.0,V2,V2
110,0.0,V1,V3,18.0,4,26,V3,V2,V1,yes,1112,1112,,1,V2,V2,5362,V2,0.0,V2,4,T,F,V3,,1.0,V2,18,22854,V3,2.0,V2,V1
111,0.0,V2,V2,15.0,1,45,V1,V3,V1,yes,3594,3594,,2,V3,V2,5017,V4,0.0,V4,2,T,F,V3,,1.0,V2,15,39420,V1,1.0,V2,V1
112,0.0,V4,V5,26.0,1,29,V1,V3,V1,yes,5964,5964,,2,V3,V3,3659,V2,0.0,V2,2,T,F,V3,,1.0,V4,26,26026,V1,1.0,V2,V2
113,0.0,V1,V5,11.0,4,37,V7,V4,V1,yes,1495,1495,,2,V4,V3,6426,V4,0.0,V4,1,T,F,V3,,1.0,V2,11,125389,V1,2.0,V2,V1
114,0.0,V4,V3,29.0,4,32,V3,V4,V1,yes,2830,2830,,1,V4,V2,5834,V4,0.0,V4,2,T,F,,,1.0,V3,29,76546,V1,1.0,V2,V2
115,0.0,V4,V3,36.0,2,34,V1,V2,V1,yes,6948,6948,,1,V2,V3,3421,V2,0.0,V2,2,T,F,V3,,1.0,V4,36,30872,V1,1.0,V1,V2
116,1.0,V1,V2,23.0,4,23,V2,V2,V1,yes,3233,3233,,1,V2,V2,5968,V1,0.0,V1,4,T,F,V3,,1.0,V2,23,73683,V1,1.0,V1,V2
117,0.0,V4,V4,23.0,3,34,V1,V3,V1,yes,4679,4679,,2,V3,V3,4983,V4,0.0,V4,3,T,F,V3,,1.0,V2,23,14434,V1,1.0,V2,V2
118,1.0,V2,V4,17.0,2,30,V7,V4,V1,yes,2775,2775,,2,V4,V3,6636,V4,0.0,V4,2,T,F,V1,,1.0,V3,17,66252,V1,1.0,V2,V1
119,0.0,V3,V3,24.0,2,48,V1,V2,V5,yes,9276,9276,,1,V2,V1,6227,V4,0.0,V4,4,T,F,V3,,1.0,V3,24,31778,V1,1.0,V3,V2
120,0.0,V2,V3,11.0,4,34,V3,V4,V1,yes,1290,1290,,2,V4,V2,4160,V4,0.0,V4,2,T,F,V3,,1.0,V3,11,57689,V1,1.0,V2,V1
121,0.0,V2,V5,6.0,4,45,V3,V4,V5,yes,730,730,,2,V4,V3,5174,V4,0.0,V4,2,T,F,V3,,1.0,V2,6,25482,V1,1.0,V1,V2
122,0.0,V1,V2,18.0,3,36,V9,V2,V4,yes,1912,1912,,1,V2,V4,4373,V2,0.0,V2,3,T,F,V1,,1.0,V3,18,74841,V1,1.0,V2,V2
123,0.0,V2,V5,12.0,2,49,V2,V4,V5,yes,5801,5801,,1,V4,V3,6583,V4,0.0,V4,4,T,F,V3,,1.0,V3,12,16190,V1,1.0,V1,V2
124,0.0,V4,V3,35.0,3,33,V1,V4,V1,yes,5799,5799,,2,V4,V3,5080,V2,0.0,V2,4,T,F,V3,,1.0,V3,35,6997,V1,1.0,V2,V2
125,1.0,V4,V2,23.0,2,25,V2,V4,V1,yes,4735,4735,,1,V4,V2,3930,V2,0.0,V2,4,T,F,V1,,1.0,V2,23,13545,V1,1.0,V2,V1
126,0.0,V2,V3,15.0,2,25,V2,V4,V1,yes,974,974,,2,V4,V1,5074,V1,0.0,V1,3,T,F,V3,,1.0,V3,15,59167,V1,1.0,V2,V1
127,1.0,V4,V2,42.0,4,33,V3,V2,V1,yes,3965,3965,,1,V2,V3,5079,V1,0.0,V1,3,T,F,V3,,1.0,V3,42,70527,V1,1.0,V2,V1
128,0.0,V4,V2,18.0,1,21,V2,V2,V1,yes,3649,3649,,1,V2,V2,6218,V1,0.0,V1,4,T,F,V3,,1.0,V3,18,27087,V1,1.0,V1,V1
129,1.0,V4,V3,18.0,2,36,V9,V5,V1,yes,4165,4165,,2,V5,V3,5829,V4,0.0,V4,2,T,F,V2,,1.0,V3,18,67250,V1,2.0,V2,V1
130,1.0,V1,V3,17.0,4,23,V2,V4,V1,yes,2124,2124,,2,V4,V2,5006,V1,0.0,V1,4,T,F,V3,,1.0,V3,17,40650,V1,1.0,V1,V1
131,1.0,V4,V4,9.0,4,21,V3,V2,V1,yes,1477,1477,,1,V2,V3,5733,V4,0.0,V4,2,T,F,V3,,1.0,V3,9,14892,V1,1.0,V2,V1
132,0.0,V1,V4,6.0,3,38,V7,V4,V4,yes,665,665,2.0,2,V4,V2,4256,V1,0.0,V1,4,T,F,V3,,1.0,V2,6,64780,V1,1.0,V2,V2
133,0.0,V2,V2,9.0,1,36,V7,V2,V1,yes,3948,3948,,1,V2,V3,3692,V3,0.0,V3,1,T,F,V3,,1.0,V2,9,16970,V3,2.0,V2,V1
134,0.0,V4,V4,30.0,4,25,V3,V4,V1,yes,4530,4530,,1,V4,V2,5633,V4,0.0,V4,4,T,F,V3,,1.0,V4,30,48744,V1,1.0,V1,V2
135,0.0,V2,V5,19.0,1,23,V2,V4,V1,yes,4272,4272,,2,V4,V2,5315,V1,0.0,V1,4,T,F,V3,,1.0,V3,19,41695,V1,1.0,V2,V1
136,0.0,V4,V5,11.0,4,38,V3,V2,V1,yes,804,804,,1,V2,V3,6884,V4,0.0,V4,4,T,F,V3,,1.0,V3,11,37147,V1,1.0,V2,V1
137,1.0,V4,V3,12.0,4,39,V6,V2,V1,yes,683,683,,1,V2,V3,5518,V1,0.0,V1,4,T,F,V3,,1.0,V2,12,78679,V1,2.0,V1,V1
138,0.0,V4,V5,47.0,4,37,V1,V4,V5,yes,2750,2750,,2,V4,V3,4240,V4,0.0,V4,3,T,F,V3,,1.0,V3,47,10578,V1,2.0,V2,V2
139,1.0,V2,V1,23.0,3,33,V2,V3,V1,yes,2064,2064,,1,V3,V2,5327,V2,0.0,V2,2,T,F,V3,,1.0,V4,23,131144,V1,1.0,V2,V2
140,1.0,V3,V5,5.0,4,34,V6,V1,V1,yes,1197,1197,,1,V1,V2,4845,V1,0.0,V1,4,T,F,V3,,1.0,V3,5,21090,V1,1.0,V3,V1
141,1.0,V2,V3,19.0,4,33,V7,V4,V1,no,2234,2234,,2,V4,V4,4639,V1,0.0,V1,2,T,F,V1,,1.0,V3,19,93207,V3,1.0,V1,V1
142,0.0,V4,V3,6.0,1,23,V7,V4,V3,yes,2080,2080,,1,V4,V4,4359,V4,0.0,V4,2,T,F,V3,,1.0,V3,6,73797,V1,1.0,V2,V1
143,1.0,V2,V3,10.0,4,27,V7,V2,V5,yes,1308,1308,,1,V2,V3,5912,V4,0.0,V4,4,T,F,V3,,1.0,V2,10,31092,V3,1.0,V2,V1
144,0.0,V4,V2,12.0,4,26,V7,V4,V2,yes,1995,1995,,1,V4,V3,6905,V2,0.0,V2,1,T,F,V3,,1.0,V3,12,41015,V1,1.0,V2,V1
145,0.0,V1,V3,12.0,3,23,V2,V2,V1,yes,1768,1768,,1,V2,V3,4931,V4,0.0,V4,2,T,F,V3,,1.0,V2,12,18605,V1,1.0,V1,V1
